halo_customer_id,customer_slug,display_name,status,billing_ref,notes,created_by,created_at,updated_by,updated_at,halo_billing_id
225,navigata,Navigata365,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,225
205,newhopecare,New Hope Care,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,205
54,northerntablelandsconveyancing,Northern Tablelands Conveyancing,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,54
170,schmickpropertymaintenance,Schmick Property Maintenance,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,170
269,sueoloan,Sue OLoan,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,269
347,tlglawnsandlandscapesptyltd,TLG Lawns and Landscapes Pty Ltd,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,347
199,trambyhanks,Tramby & Hanks,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,199
62,trucktrailersalesservice,Truck & Trailer Sales & Service,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,62
201,websafestaff,Web Safe Staff,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,201
107,westsidedentistry,Westside Dentistry,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,107
186,zenbook,ZenBook,active,,,halo-reconciliation,2026-04-09 13:02:09.420676+00,halo-reconciliation,2026-04-09 13:02:09.420676+00,186
-1000025,westsidedentistry__old__-1000025,Westside Dentistry,inactive,, [superseded by HaloID 107],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000026,zenbook__old__-1000026,ZenBook,inactive,, [superseded by HaloID 186],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100015,silverstonedevelopments__old__-100015,Silverstone Developments,inactive,, [superseded by HaloID 61],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100017,wirenotelectrical__old__-100017,Wire-Not Electrical,inactive,, [superseded by HaloID 146],manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000016,navigata__old__-1000016,Navigata365,inactive,, [superseded by HaloID 225],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000017,newhopecare__old__-1000017,New Hope Care,inactive,, [superseded by HaloID 205],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1,demo-co,Demo Company,inactive,,Removed from authoritative customer list,manage_seed,2026-04-09 05:08:28.110235+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-2,scott-rock,ScottRocks,inactive,,Removed from authoritative customer list,manage_seed,2026-04-09 05:08:28.110235+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000018,northerntablelandsconveyancing__old__-1000018,Northern Tablelands Conveyancing,inactive,, [superseded by HaloID 54],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000019,schmickpropertymaintenance__old__-1000019,Schmick Property Maintenance,inactive,, [superseded by HaloID 170],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000020,sueoloan__old__-1000020,Sue OLoan,inactive,, [superseded by HaloID 269],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100020,zz2801,Zz2801,inactive,,Removed from authoritative customer list,manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-100001,3cx,3cx,inactive,,Removed from authoritative customer list,manage_seed,2026-04-09 05:56:15.035126+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000021,tlglawnsandlandscapesptyltd__old__-1000021,TLG Lawns and Landscapes Pty Ltd,inactive,, [superseded by HaloID 347],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000022,trambyhanks__old__-1000022,Tramby & Hanks,inactive,, [superseded by HaloID 199],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000023,trucktrailersalesservice__old__-1000023,Truck & Trailer Sales & Service,inactive,, [superseded by HaloID 62],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
-1000024,websafestaff__old__-1000024,Web Safe Staff,inactive,, [superseded by HaloID 201],authoritative-csv,2026-04-09 08:58:04.738999+00,halo-reconciliation,2026-04-09 13:07:01.948258+00,
