table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
public,manage_customers,4,created_at,timestamp with time zone,NO,now()
public,manage_pbxs,1,pbx_id,uuid,NO,gen_random_uuid()
public,manage_pbxs,2,customer_slug,text,NO,
public,manage_pbxs,3,pbx_system_id,uuid,YES,
public,manage_pbxs,4,name,text,NO,
public,manage_pbxs,5,type,text,NO,'3CX'::text
public,manage_pbxs,6,management_url,text,NO,
public,manage_pbxs,7,auth_method,text,NO,
public,manage_pbxs,8,collector_id,text,YES,
public,manage_pbxs,9,maintenance_mode,boolean,NO,false
public,manage_pbxs,10,status,text,NO,
public,manage_pbxs,11,created_at,timestamp with time zone,NO,now()
public,manage_trunks,1,trunk_id,uuid,NO,gen_random_uuid()
public,manage_trunks,2,customer_slug,text,NO,
public,manage_trunks,3,trunk_fk,uuid,YES,
public,manage_trunks,4,provider,text,NO,
public,manage_trunks,5,concurrency_limit,integer,YES,
public,manage_trunks,6,obsolete_flag,boolean,NO,false
public,manage_trunks,7,notes,text,YES,
public,manage_trunks,8,created_at,timestamp with time zone,NO,now()
public,manage_users,1,user_id,uuid,NO,gen_random_uuid()
public,manage_users,2,email,text,NO,
public,manage_users,3,role,text,NO,
public,manage_users,4,created_at,timestamp with time zone,NO,now()
public,metric_points,1,pbx_id,bigint,NO,
public,metric_points,2,metric_name,text,NO,
public,metric_points,3,ts,timestamp with time zone,NO,
public,metric_points,4,value_num,numeric,YES,
public,metric_points,5,value_json,jsonb,YES,
public,number_allocation_rates,1,id,bigint,NO,nextval('number_allocation_rates_id_seq'::regclass)
public,number_allocation_rates,2,carrier_name,text,NO,
public,number_allocation_rates,3,number_type,text,NO,
public,number_allocation_rates,4,monthly_cost,numeric,NO,
public,number_allocation_rates,5,currency,text,NO,'AUD'::text
public,number_allocation_rates,6,effective_from,date,NO,
public,number_allocation_rates,7,effective_to,date,YES,
public,number_allocation_rates,8,notes,text,YES,
public,number_allocation_rates,9,created_at,timestamp with time zone,NO,now()
public,number_allocations,1,id,bigint,NO,nextval('number_allocations_id_seq'::regclass)
public,number_allocations,2,carrier_name,text,NO,
public,number_allocations,3,number_type,text,NO,
public,number_allocations,4,quantity,integer,NO,
public,number_allocations,5,effective_from,date,NO,
public,number_allocations,6,effective_to,date,YES,
public,number_allocations,7,notes,text,YES,
public,number_allocations,8,created_at,timestamp with time zone,NO,now()
public,number_allocations,9,account_id,text,YES,
public,outbound_call_duration_daily,1,call_date,date,NO,
public,outbound_call_duration_daily,2,customer_slug,text,NO,
public,outbound_call_duration_daily,3,account_id,text,NO,
public,outbound_call_duration_daily,4,call_type,text,NO,
public,outbound_call_duration_daily,5,total_duration_sec,bigint,NO,
public,outbound_call_duration_daily,6,call_count,bigint,NO,
public,outbound_call_duration_daily,7,last_updated,timestamp with time zone,NO,now()
public,outbound_call_duration_monthly,1,month_start,date,NO,
public,outbound_call_duration_monthly,2,customer_slug,text,NO,
public,outbound_call_duration_monthly,3,account_id,text,NO,
public,outbound_call_duration_monthly,4,call_type,text,NO,
public,outbound_call_duration_monthly,5,total_duration_sec,bigint,NO,
public,outbound_call_duration_monthly,6,call_count,bigint,NO,
public,outbound_call_duration_monthly,7,is_closed,boolean,NO,false
public,outbound_call_duration_monthly,8,closed_at,timestamp with time zone,YES,
public,outbound_call_duration_monthly,9,last_updated,timestamp with time zone,NO,now()
public,outbound_total_cost_monthly,1,month_start,date,NO,
public,outbound_total_cost_monthly,2,account_id,text,NO,
public,outbound_total_cost_monthly,3,usage_cost_aud,numeric,NO,0
public,outbound_total_cost_monthly,4,concurrency_cost_aud,numeric,NO,0
public,outbound_total_cost_monthly,5,number_rental_cost_aud,numeric,NO,0
public,outbound_total_cost_monthly,6,total_cost_aud,numeric,NO,0
public,outbound_total_cost_monthly,7,last_updated,timestamp with time zone,NO,now()
public,pbx_audit_log,1,id,bigint,NO,nextval('pbx_audit_log_id_seq'::regclass)
public,pbx_audit_log,2,pbx_id,integer,NO,
public,pbx_audit_log,3,actor,text,NO,
public,pbx_audit_log,4,action,text,NO,
public,pbx_audit_log,5,details,jsonb,YES,
