module_id,halo_customer_id,module_type,external_key,enabled,config_version,created_by,created_at,updated_by,updated_at
fb7fd223-b5da-4c14-94c8-4e421af9c9ab,48,PBX,curiofinancial.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
aaf63e9f-951c-4c31-ad28-774440a42734,206,PBX,dippers.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
708e880e-bd2f-4e25-8656-92b9d95ae5c8,210,PBX,energytradesolutions.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
d7685ea0-3615-42df-bdd5-7ac505812e35,285,PBX,cbh.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
359a6d48-a8a6-4a0e-84b8-cb606e4e4864,219,PBX,inverellmc.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
aface949-dcd7-4a5e-8b1c-36eaa1439bc5,234,PBX,sporties.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
07fa1eb7-580c-4769-9555-b97151f09266,69,PBX,northaven.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
ec7edd35-3fc9-451c-89a3-f217540323ae,362,PBX,northsidewizards.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
48a54cda-1638-41a3-bf32-412fd0dc63b5,238,PBX,ozkleen.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
604b2caf-371e-48bc-a725-be834db7ac5a,61,PBX,silverstonedevelopments.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
a0c1db4c-4461-4ff2-8887-ae76727b2f47,146,PBX,wirenotelectrical.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
e75d3ac1-29c9-4f8f-8f54-b701885cf414,305,PBX,wjmatthews.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:02:09.420676+00
b870b1b8-39a8-4bec-adf8-d6d97f01fae7,12,PBX,3cx.zahezone.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:06:40.866317+00
8bdc6e22-389d-4bd6-b0e9-cbe2649d6cc7,12,PBX,zz2801.3cx.com.au,t,1,manage_seed,2026-04-09 05:11:31.443378+00,halo-reconciliation,2026-04-09 13:06:40.866317+00
